0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/modernizr-2.6.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/jquery.countTo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/magnific-popup-options.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/person_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/person_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/person_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/fonts/icomoon/icomoon.ttf?srf3rx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/img_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:28 +0530] "GET /BIOMaaS/images/img_bg_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:57:39 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:58:52 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [14/Oct/2022:21:59:17 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:03:05 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 500 2151
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:03:38 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 500 2316
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:04:44 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:05:13 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:07:05 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:08:15 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:08:36 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:09:54 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:12:00 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:12:27 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:13:00 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:15:02 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:15:44 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:16:18 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:17:38 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:18:11 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:19:18 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 500 2128
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:20:22 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:21:25 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:21:27 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:21:53 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:22:10 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:22:39 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:22:54 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:23:43 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:23:48 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:26:15 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:05 +0530] "POST /BIOMaaS/fileUpload.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/index.html HTTP/1.1" 200 21522
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/js/modernizr-2.6.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:22:27:25 +0530] "GET /BIOMaaS/js/bootstrap.min.js HTTP/1.1" 304 -
